set,id
3348.0,rck002
3348.0,rck005
3348.0,rck007
3349.0,rck008
3349.0,rck010
3349.0,rck009
3350.0,doc010
3350.0,firec014
3350.0,cop040
3351.0,con006
3351.0,con001
3351.0,con005
3352.0,tms03
3353.0,47394pb096
3353.0,tms04
3354.0,tms05
3365.0,cty0221
3366.0,cty0224
3367.0,cty0223
3368.0,cty0226
3368.0,cty0225
3368.0,twn135
3368.0,cty0227
3380.0,adv037
3382.0,adv050
3383.0,chef010
3384.0,trn002
3386.0,ixs003
3387.0,ixs008
3388.0,ixs001
3389.0,gg010
3390.0,nba055
3391.0,alp017a
3401.0,soc059
3401.0,soc043
3401.2,soc044
3401.2,soc059
3402.0,soc004
3402.0,soc005
3403.0,soc006
3403.0,soc007
3403.0,soc046
3404.0,soc012
3404.0,soc019
3404.0,soc025
3404.0,soc031
3404.0,soc041
3405.0,soc013
3405.0,soc020
3405.0,soc026
3405.0,soc032
3405.0,soc042
3406.0,soc008
3406.0,soc015
3406.0,soc021
3406.0,soc027
3406.0,soc039
3407.0,soc011
3407.0,soc018
3407.0,soc024
3407.0,soc030
3407.0,soc036
3407.0,soc040
3408.0,rsq011
3408.0,soc001
3408.0,soc047
3408.0,soc048
3409.0,soc009
3409.0,soc092
3409.0,soc022
3409.0,soc016
3409.0,soc034
3409.0,soc028
3409.0,soc010
3409.0,soc035
3409.0,soc023
3409.0,soc017
3409.0,soc096
3409.0,soc029
3410.0,soc093
3410.0,soc002
3410.0,soc003
3410.0,soc049
3411.0,soc013
3411.0,soc020
3411.0,soc026
3411.0,soc032
3411.0,soc042
3412.0,soc043
3413.0,soc010
3414.0,soc003
3416.0,soc097
3416.0,soc051
3416.0,soc053
3416.0,soc050
3416.0,soc052
3416.0,soc054
3418.0,soc043
3419.0,soc003
3420.0,soc089
3420.0,soc090
3420.0,soc086
3420.0,soc087
3420.0,soc088
3420.0,soc081
3420.0,soc082
3420.0,soc083
3420.0,soc084
3420.0,soc085
3420.2,soc089
3420.2,soc090
3420.2,soc086
3420.2,soc087
3420.2,soc088
3420.2,soc081
3420.2,soc082
3420.2,soc083
3420.2,soc084
3420.2,soc085
3420.3,soc067
3420.3,soc068
3420.3,soc061
