stevilka,ime,tema,podtema,leto,st_kock,st_minifigur,dostopnost,msrp,vrednost
75132.0,First Order Battle Pack,Star Wars,The Force Awakens,2016,88,4,Retired,16.99,14.8
75133.0,Rebel Alliance Battle Pack,Star Wars,Battlefront,2016,101,4,Retired,16.99,30.31
75134.0,Galactic Empire Battle Pack,Star Wars,Battlefront,2016,109,4,Retired,16.99,37.61
75135.0,Obi-Wan's Jedi Interceptor,Star Wars,Episode III,2016,215,2,Retired,29.99,130.87
75136.0,Droid Escape Pod,Star Wars,Episode IV,2016,197,4,Retired,29.99,26.31
75137.0,Carbon-Freezing Chamber,Star Wars,Episode V,2016,231,3,Retired,29.99,43.96
75138.0,Hoth Attack,Star Wars,Episode V,2016,233,4,Retired,29.99,64.13
75139.0,Battle on Takodana,Star Wars,The Force Awakens,2016,409,5,Retired,59.99,48.4
75140.0,Resistance Troop Transporter,Star Wars,The Force Awakens,2016,646,4,Retired,69.99,70.4
75141.0,Kanan's Speeder Bike,Star Wars,Rebels,2016,234,3,Retired,29.99,50.2
75142.0,Homing Spider Droid,Star Wars,Episode III,2016,310,4,Retired,39.99,93.58
75144.0,Snowspeeder,Star Wars,Ultimate Collector Series,2017,1703,2,Retired,199.99,296.81
75145.0,Eclipse Fighter,Star Wars,Original Content,2016,363,2,Retired,39.99,41.79
75146.0,Star Wars Advent Calendar,Star Wars,Seasonal,2016,282,10,Retired,29.99,52.8
75147.0,Star Scavenger,Star Wars,Original Content,2016,558,4,Retired,59.99,69.25
75148.0,Encounter on Jakku,Star Wars,The Force Awakens,2016,530,4,Retired,69.99,44.0
75149.0,Resistance X-wing Fighter,Star Wars,The Force Awakens,2016,740,4,Retired,89.99,96.69
75150.0,Vader's TIE Advanced vs. A-wing Fighter,Star Wars,Rebels,2016,702,4,Retired,79.19,112.1
75151.0,Clone Turbo Tank,Star Wars,Episode III,2016,903,6,Retired,119.99,268.22
75152.0,Imperial Assault Hovertank,Star Wars,Rogue One,2016,385,3,Retired,39.99,85.31
75153.0,AT-ST Walker,Star Wars,Rogue One,2016,449,3,Retired,49.99,78.28
75154.0,TIE Striker,Star Wars,Rogue One,2016,543,4,Retired,69.99,90.91
75155.0,Rebel U-wing Fighter,Star Wars,Rogue One,2016,659,5,Retired,79.99,171.25
75156.0,Krennic's Imperial Shuttle,Star Wars,Rogue One,2016,863,6,Retired,99.99,206.57
75157.0,Captain Rex's AT-TE,Star Wars,Rebels,2016,972,5,Retired,119.99,234.91
75158.0,Rebel Combat Frigate,Star Wars,Rebels,2016,936,5,Retired,139.99,386.65
75159.0,The Death Star,Star Wars,Ultimate Collector Series,2016,4016,27,Retired,499.99,791.9
75160.0,U-wing,Star Wars,MicroFighters,2017,109,1,Retired,9.99,11.03
75161.0,TIE Striker,Star Wars,MicroFighters,2017,88,1,Retired,9.99,10.59
75162.0,Y-wing,Star Wars,MicroFighters,2017,90,1,Retired,9.99,14.08
75163.0,Krennic's Imperial Shuttle,Star Wars,MicroFighters,2017,78,1,Retired,9.99,11.89
75164.0,Rebel Trooper Battle Pack,Star Wars,Rogue One,2017,120,4,Retired,14.99,25.5
75165.0,Imperial Trooper Battle Pack,Star Wars,Rogue One,2017,112,4,Retired,14.99,48.25
75166.0,First Order Transport Speeder Battle Pack,Star Wars,The Force Awakens,2017,117,4,Retired,14.99,21.96
75167.0,Bounty Hunter Speeder Bike Battle Pack,Star Wars,Original Content,2017,122,3,Retired,14.99,35.26
75168.0,Yoda's Jedi Starfighter,Star Wars,The Clone Wars,2017,262,2,Retired,29.99,44.0
75169.0,Duel on Naboo,Star Wars,Episode I,2017,208,3,Retired,29.99,65.24
75170.0,The Phantom,Star Wars,Rebels,2017,269,3,Retired,39.99,195.39
75171.0,Battle on Scarif,Star Wars,Rogue One,2017,419,4,Retired,59.99,134.64
75172.0,Y-wing Starfighter,Star Wars,Rogue One,2017,691,5,Retired,69.99,104.12
75173.0,Luke's Landspeeder,Star Wars,Episode IV,2017,149,4,Retired,29.99,23.94
75174.0,Desert Skiff Escape,Star Wars,Episode VI,2017,277,4,Retired,39.99,66.0
75175.0,A-Wing Starfighter,Star Wars,Episode VI,2017,358,3,Retired,49.99,87.9
75176.0,Resistance Transport Pod,Star Wars,The Last Jedi,2017,294,3,Retired,39.99,29.14
75177.0,First Order Heavy Scout Walker,Star Wars,The Last Jedi,2017,554,4,Retired,59.99,46.53
75178.0,Jakku Quadjumper,Star Wars,The Force Awakens,2017,457,5,Retired,59.99,63.25
75179.0,Kylo Ren's TIE Fighter,Star Wars,The Last Jedi,2017,630,5,Retired,79.99,147.58
75180.0,Rathtar Escape,Star Wars,The Force Awakens,2017,836,5,Retired,89.99,62.57
75181.0,Y-wing Starfighter,Star Wars,Ultimate Collector Series,2018,1967,2,Retired,199.99,348.82
75182.0,Republic Fighter Tank,Star Wars,Legends,2017,305,4,Retired,29.99,87.28
75183.0,Darth Vader Transformation,Star Wars,Episode III,2017,282,6,Retired,29.99,54.4
75184.0,Star Wars Advent Calendar,Star Wars,Seasonal,2017,309,8,Retired,29.99,49.62
75185.0,Tracker I,Star Wars,Original Content,2017,557,4,Retired,69.99,83.6
75186.0,The Arrowhead,Star Wars,Original Content,2017,775,5,Retired,89.99,140.4
75187.0,BB-8,Star Wars,The Last Jedi,2017,1106,1,Retired,99.99,130.88
75188.0,Resistance Bomber,Star Wars,The Last Jedi,2017,778,6,Retired,109.99,164.48
75188.2,Resistance Bomber (Finch Dallow),Star Wars,The Last Jedi,2018,778,5,Retired,109.99,
75189.0,First Order Heavy Assault Walker,Star Wars,The Last Jedi,2017,1376,5,Retired,139.99,192.28
75190.0,First Order Star Destroyer,Star Wars,The Last Jedi,2017,1416,8,Retired,149.99,198.0
75191.0,Jedi Starfighter with Hyperdrive,Star Wars,Episode II,2017,825,4,Retired,109.99,351.96
75192.0,Millennium Falcon,Star Wars,Ultimate Collector Series,2017,7541,8,Exclusive,849.99,
75193.0,Millennium Falcon Microfighter,Star Wars,MicroFighters,2018,92,1,Retired,9.99,13.17
75194.0,First Order TIE Fighter Microfighter,Star Wars,MicroFighters,2018,91,1,Retired,9.99,11.85
75195.0,Ski Speeder vs. First Order Walker Microfighters,Star Wars,MicroFighters,2018,216,2,Retired,19.99,19.17
75196.0,A-Wing vs. TIE Silencer Microfighters,Star Wars,MicroFighters,2018,188,2,Retired,19.99,20.97
75197.0,First Order Specialists Battle Pack,Star Wars,The Last Jedi,2018,108,4,Retired,16.99,18.92
75198.0,Tatooine Battle Pack,Star Wars,Episode IV,2018,97,4,Retired,16.99,21.06
75199.0,General Grievous' Combat Speeder,Star Wars,The Clone Wars,2018,157,2,Retired,29.99,61.49
75200.0,Ahch-To Island Training,Star Wars,The Last Jedi,2018,241,2,Retired,29.99,31.18
75201.0,First Order AT-ST,Star Wars,The Last Jedi,2018,370,4,Retired,59.99,61.58
75202.0,Defense of Crait,Star Wars,The Last Jedi,2018,746,5,Retired,79.99,72.34
75203.0,Hoth Medical Chamber,Star Wars,Episode V,2018,255,4,Retired,39.99,44.0
75204.0,Sandspeeder,Star Wars,,2018,278,2,Retired,39.99,47.38
75205.0,Mos Eisley Cantina,Star Wars,Episode IV,2018,378,4,Retired,49.99,51.78
75206.0,Jedi and Clone Troopers Battle Pack,Star Wars,Episode II,2018,102,4,Retired,16.99,36.04
75207.0,Imperial Patrol Battle Pack,Star Wars,Solo,2018,99,4,Retired,16.99,21.99
75208.0,Yoda's Hut,Star Wars,Episode V,2018,229,3,Retired,29.99,43.19
75209.0,Han Solo's Landspeeder,Star Wars,Solo,2018,345,2,Retired,29.99,31.66
75210.0,Moloch's Landspeeder,Star Wars,Solo,2018,464,2,Retired,49.99,36.07
75211.0,Imperial TIE Fighter,Star Wars,Solo,2018,519,4,Retired,69.99,166.65
75212.0,Kessel Run Millennium Falcon,Star Wars,Solo,2018,1414,7,Retired,169.99,204.08
75213.0,Star Wars Advent Calendar,Star Wars,Seasonal,2018,307,7,Retired,29.99,51.01
75214.0,Anakin's Jedi Starfighter,Star Wars,The Clone Wars,2018,247,2,Retired,29.99,43.08
75215.0,Cloud-Rider Swoop Bikes,Star Wars,Solo,2018,355,3,Retired,29.99,35.2
75216.0,Snoke's Throne Room,Star Wars,The Last Jedi,2018,492,5,Retired,69.99,75.02
75217.0,Imperial Conveyex Transport,Star Wars,Solo,2018,622,5,Retired,89.99,129.29
75218.0,X-wing Starfighter,Star Wars,Episode IV,2018,731,4,Retired,99.99,108.2
75219.0,Imperial AT-Hauler,Star Wars,Solo,2018,829,5,Retired,99.99,97.72
